comment,toxic
"парв падл сопляк дран","1"
"русофобств рашник хохл окатыш - забан пидорнут ньюсач пидорашк пал","1"
"двач шар тред закрыва расход щегл каса","1"
"доллар перевест пуска запас черн ден остальн жит жил особ трепа бабк спуска все равн лям рубл - бог вест сумм больш то ценност скаж нулев хот деньг одн те год особ кут ху выйдет конц жизн растянут жит середнячк бомжева получ толк куда-т вкладыва извлека прибыл имен неплох подушк безопасн","0"
"чом онлайн хрюка чатик дохловат ? накрут онла ?","1"
"конч долбаеб словечк сос ху еба тво мат","1"
"поч папич даунск чат ? традиц","1"
"настоя мэддисон стрим придет ? убермаргина мэддисон лет нача участвова разговорн стрим магог адольф игор линк мэддисон прост занима обзор игор itpedia мэдисон рандомн дяд деньг пыта сдела серьезн обзорщик игр","0"
"егор очередн обид сам дел он лучш - егор сво отвратительн поведен настраива люд прот движ должн произойт над сдела вывод","1"
"как хохл революционер пиздец прост","1"
"прост виж кажд регион охот разреш собирательств ? разреш разреш медвед собира идт случа инспекц смог как-т сныка нескольк метр дом нычк минипогреб ( этак холодильник ) зим ? огород-т снег консервац поч мнен пойд выжива базов знан тип как травк как дезинфецирова вод консервирова ед т.д воровств планируеш занима прич так мелк невыгодн поиск чего-т ночн огород темнот политическ ориентац проступа все ясн врод лучш жизн собира жит люд голод друг люд поеда мо воровств ( запас перебивк перекус куст обратн кунг ) вполн крайн мер выживан вполн всяк питан полезн русск регион кого-т тип пассивн доход бабкин пенс пособ какое-нибуд заеб ! поня придирк сарказм разделя вариант конечно-ж буржуйк","0"
"средств безопасн обяза базов комплектац боинг искуша покупател меньш цен имен вин боинг","0"
"галиц нах слат пуст пшек забира дар","1"
"гопник удар потерпевш голов удар солдат нат ! ! !","1"
"помн понрав поскольк пек посмотрел щас все заб","0"
"либертарианств техническ невыполним масштаб человечеств подход большинств он существ масштаб человечеств т.к власт государств ниж люд объедин сво контракт полн либертарианск совершенств социальн контракт нужн оформ письмен","0"
"частеньк быва вечерк напиш нескольк пост оскорблен адрес хохл нескольк хохл ответ порж пойд спат хохл хот чита правд","1"
"твич бан слов пидарас гомофоб возможн впопич ввид сво тупост ознаком нов правил твич","1"
